Common Name,Scientific Name,ESA Listing Status,Is Foreign?,Taxonomic Family,Taxonomic Group,Taxonomic Kingdom
Song Sparrow,Melospiza melodia samuelis,Species of Concern,FALSE,Emberizidae,Birds,Animal
Sonoma alopecurus,Alopecurus aequalis var. sonomensis,Endangered,FALSE,Poaceae,Flowering Plants,Plant
Sonoma arctic skipper,Carterocephalus palaemon ssp.,Species of Concern,FALSE,Hesperiidae,Insects,Animal
Sonoma ceanothus,Ceanothus sonomensis,Species of Concern,FALSE,Rhamnaceae,Flowering Plants,Plant
Sonoma spineflower,Chorizanthe valida,Endangered,FALSE,Polygonaceae,Flowering Plants,Plant
Sonoma sunshine,Blennosperma bakeri,Endangered,FALSE,Asteraceae,Flowering Plants,Plant
Sonora chub,Gila ditaenia,Threatened,FALSE,Cyprinidae,Fishes,Animal
Sonora fleabane,Erigeron versicolor,Species of Concern,FALSE,Asteraceae,Flowering Plants,Plant
Sonoran desert tortoise,Gopherus morafkai,Resolved Taxon,FALSE,Testudinidae,Reptiles,Animal
Sonoran green toad,Bufo retiformis,Resolved Taxon,FALSE,Bufonidae,Amphibians,Animal
Sonoran lyre snake,trimorphodon biscutatus ssp. lambda,Species of Concern,FALSE,colubridae,Reptiles,Animal
Sonoran panic grass,Panicum sonoran,Status Undefined,FALSE,Poaceae,Flowering Plants,Plant
Sonoran pronghorn,Antilocapra americana sonoriensis,"Experimental Population, Non-Essential",FALSE,Antilocapridae,Mammals,Animal
Sonoran pronghorn,Antilocapra americana sonoriensis,Endangered,FALSE,Antilocapridae,Mammals,Animal
Sonoran Snaggletooth,Gastrocopta prototypus,Resolved Taxon,FALSE,Pupillidae,Snails,Animal
Sonoran talussnail,Sonorella magdalenensis,Under Review,FALSE,Helminthoglyptidae,Snails,Animal
Sonoran tiger salamander,Ambystoma mavortium stebbinsi,Endangered,FALSE,Ambystomatidae,Amphibians,Animal
Sonoran Yellow Warbler,Dendroica petechia ssp. sonorana,Species of Concern,FALSE,Parulidae,Birds,Animal
Sonora sucker,Catostomus insignis,Species of Concern,FALSE,Catostomidae,Fishes,Animal
Sonoyta mud turtle,Kinosternon sonoriense longifemorale,Endangered,FALSE,Kinosternidae,Reptiles,Animal
Sooty Shearwater,Ardenna griseus,Species of Concern,FALSE,Procellariidae,Birds,Animal
Sooty Tern,Onychoprion fuscatus,Species of Concern,FALSE,Laridae,Birds,Animal
Soror odynerus vespid wasp,Odynerus soror,Species of Concern,FALSE,Vespidae,Insects,Animal
South American (=Brazilian) tapir,Tapirus terrestris,Endangered,TRUE,Tapiridae,Mammals,Animal
South American red-lined turtle,Trachemys scripta callirostris,Endangered,TRUE,Emydidae,Reptiles,Animal
South Andean huemul,Hippocamelus bisulcus,Endangered,TRUE,Cervidae,Mammals,Animal
South Asian River dolphin,Platanista gangetica minor,Endangered,TRUE,Platanistidae,Mammals,Animal
South Branch Valley cave beetle,Pseudanophthalmus potomaca potomaca,Under Review,FALSE,Carabidae,Insects,Animal
South China sika deer,Cervus nippon kopschi,Endangered,TRUE,Cervidae,Mammals,Animal
South coast garter snake,Thamnophis sirtalis ssp.,Species of Concern,FALSE,Colubridae,Reptiles,Animal
South Coast Range morning-glory,Calystegia collina venusta,Species of Concern,FALSE,Convolvulaceae,Flowering Plants,Plant
South coast saltbush,Atriplex pacifica,Species of Concern,FALSE,Chenopodiaceae,Flowering Plants,Plant
Southeastern American kestrel,Falco sparverius paulus,Species of Concern,FALSE,Falconidae,Birds,Animal
Southeastern beach mouse,Peromyscus polionotus niveiventris,Threatened,FALSE,Muridae,Mammals,Animal
Southeastern myotis,Myotis austroriparius,Species of Concern,FALSE,Vespertilionidae,Mammals,Animal
Southeastern rufous-vented ground cuckoo,Neomorphus geoffroyi dulcis,Endangered,TRUE,Cuculidae,Birds,Animal
Southeastern walleye,Stizostedion vitreum vitreum,Resolved Taxon,FALSE,Percidae,Fishes,Animal
Southern acornshell,Epioblasma othcaloogensis,Endangered,FALSE,Unionidae,Clams,Animal
Southern Appalachian black-capped chickadee,Poecile atricapillus ssp. practica,Species of Concern,FALSE,Paridae,Birds,Animal
Southern Appalachian eastern woodrat,Neotoma floridana haematoreia,Species of Concern,FALSE,Muridae,Mammals,Animal
Southern bearded saki,Chiropotes satanas satanas,Endangered,TRUE,Cebidae,Mammals,Animal
Southern California rufous-crowned sparrow,Aimophila ruficeps canescens,Species of Concern,FALSE,Emberizidae,Birds,Animal
Southern cave crayfish,orconectes australis ssp. australis,Species of Concern,FALSE,cambaridae,Fishes,Animal
Southern cavefish,typhlichthys subterraneus,Species of Concern,FALSE,amblyopsidae,Fishes,Animal
Southern clubshell,Pleurobema decisum,Endangered,FALSE,Unionidae,Clams,Animal
Southern combshell,Epioblasma penita,Endangered,FALSE,Unionidae,Clams,Animal
Southern Duckwater pyrg,Pyrgulopsis anatina,Resolved Taxon,FALSE,Hydrobiidae,Snails,Animal
Southern Dusky Salamander,Desmognathus auriculatus,Resolved Taxon,FALSE,Plethodontidae,Amphibians,Animal
Southern elktoe,Alasmidonta triangulata,Under Review,FALSE,Unionidae,Clams,Animal
Southern grasshopper mouse,Onychomys torridus ramona,Species of Concern,FALSE,Muridae,Mammals,Animal
Southern-helmeted curassow,Pauxi unicornis,Candidate,TRUE,Cracidae,Birds,Animal
