ECOS Listed Species ID	ESA Listing Date	Delisting Date	Delisting Reason
8386	3/11/1967	2/3/2020	Species does not meet the definition of an endangered species or a threatened species - Recovered
8387	6/2/1970	9/21/2004	Species does not meet the definition of an endangered species or a threatened species - Recovered
8388	12/8/1977	2/23/2004	Species is extinct
8390	12/6/1979	10/1/2003	The listed entity does not meet the statutory definition of a species
8391	8/7/1984	2/11/2016	Species does not meet the definition of an endangered species or a threatened species - Recovered
8393	7/19/1990	10/7/2003	Species does not meet the definition of an endangered species or a threatened species - Recovered
8394	8/27/1984	2/23/2004	Species is extinct
8396	3/11/1967	6/4/1987	Species does not meet the definition of an endangered species or a threatened species - Recovered
897	2/12/1985	3/7/2022	Species does not meet the definition of an endangered species or a threatened species - Recovered
11351	6/2/1970	10/11/2016	Species does not meet the definition of an endangered species or a threatened species - Recovered
11354	6/2/1970	10/11/2016	Species does not meet the definition of an endangered species or a threatened species - Recovered
11357	6/2/1970	10/11/2016	Species does not meet the definition of an endangered species or a threatened species - Recovered
11358	6/2/1970	10/11/2016	Species does not meet the definition of an endangered species or a threatened species - Recovered
11359	6/2/1970	10/11/2016	Species does not meet the definition of an endangered species or a threatened species - Recovered
11360	6/2/1970	10/11/2016	Species does not meet the definition of an endangered species or a threatened species - Recovered
11361	6/2/1970	10/11/2016	Species does not meet the definition of an endangered species or a threatened species - Recovered
11362	6/2/1970	10/11/2016	Species does not meet the definition of an endangered species or a threatened species - Recovered
11363	6/2/1970	10/11/2016	Species does not meet the definition of an endangered species or a threatened species - Recovered
